                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6294,                 3.8159,                 1.8753,                0.45254,                 0.2833,                0.24773,                 0.1295,                 1.8342,                 2.6144,                 2.1802,             2.6948e-05,             2.6948e-05,             2.6948e-05
                      1,                 1.6294,                 3.8159,                 1.8753,                0.45254,                 0.2833,                0.24773,                 0.1295,                 1.8342,                 2.6144,                 2.1802,             2.6948e-05,             2.6948e-05,             2.6948e-05
                      2,                 1.5274,                 2.3757,                 1.7131,                0.44021,                0.38378,                0.38004,                0.20035,                  1.854,                 2.2247,                 2.1567,              5.288e-05,              5.288e-05,              5.288e-05
                      3,                 1.4855,                 2.0003,                 1.6776,                0.50387,                0.42968,                0.45866,                0.23734,                 1.8495,                 2.0549,                 2.1521,             7.7743e-05,             7.7743e-05,             7.7743e-05
                      4,                 1.4515,                 1.7916,                 1.6576,                 0.5557,                0.43728,                0.47538,                 0.2446,                 1.8765,                 1.9447,                 2.1813,             7.6189e-05,             7.6189e-05,             7.6189e-05
                      5,                 1.4074,                 1.5864,                 1.6166,                0.54908,                0.48395,                0.51385,                0.27512,                 1.8471,                 1.8682,                 2.1213,             7.4585e-05,             7.4585e-05,             7.4585e-05
                      6,                 1.3683,                 1.4726,                 1.5969,                0.59296,                0.52471,                0.53908,                0.28252,                 1.8551,                 1.7292,                 2.1725,             7.2981e-05,             7.2981e-05,             7.2981e-05
                      7,                 1.3151,                 1.3411,                 1.5591,                0.56556,                  0.515,                0.52784,                0.27824,                 1.8412,                 1.7398,                 2.1775,             7.1377e-05,             7.1377e-05,             7.1377e-05
                      8,                 1.2791,                 1.2569,                 1.5313,                 0.5943,                0.52522,                0.55757,                0.29498,                 1.8044,                  1.625,                 2.1475,             6.9773e-05,             6.9773e-05,             6.9773e-05
                      9,                 1.2413,                 1.1736,                 1.5048,                0.60265,                0.53549,                0.56282,                0.30526,                  1.783,                  1.654,                 2.1386,              6.817e-05,              6.817e-05,              6.817e-05
                     10,                 1.2058,                 1.1272,                 1.4829,                0.58913,                0.54147,                0.56548,                0.30709,                 1.7627,                 1.6536,                 2.1425,             6.6566e-05,             6.6566e-05,             6.6566e-05
                     11,                 1.1682,                 1.0618,                 1.4475,                 0.6249,                0.52732,                0.56298,                0.31118,                 1.7506,                 1.5952,                 2.1313,             6.4962e-05,             6.4962e-05,             6.4962e-05
                     12,                 1.1411,                 1.0091,                 1.4318,                0.60839,                0.53896,                0.58072,                0.32487,                 1.7197,                 1.5825,                 2.1232,             6.3358e-05,             6.3358e-05,             6.3358e-05
                     13,                 1.1061,                 0.9685,                 1.4054,                0.61967,                0.52695,                 0.5673,                0.31436,                  1.725,                  1.586,                 2.1306,             6.1754e-05,             6.1754e-05,             6.1754e-05
                     14,                 1.0739,                0.92125,                 1.3784,                0.64001,                 0.5278,                0.58346,                0.33129,                 1.6873,                 1.5354,                 2.0837,             6.0151e-05,             6.0151e-05,             6.0151e-05
                     15,                 1.0476,                0.89821,                 1.3616,                0.66937,                0.53916,                 0.5923,                 0.3249,                 1.7055,                 1.5202,                 2.1206,             5.8547e-05,             5.8547e-05,             5.8547e-05
                     16,                 1.0146,                0.85599,                  1.342,                0.58332,                0.54134,                0.57154,                0.31729,                 1.6786,                 1.5181,                 2.1069,             5.6943e-05,             5.6943e-05,             5.6943e-05
                     17,                0.99133,                0.82984,                 1.3227,                 0.6815,                 0.5226,                0.58521,                0.33247,                 1.6755,                 1.4824,                 2.0947,             5.5339e-05,             5.5339e-05,             5.5339e-05
